4.9,1.4,Abnormal
4.7,1.3,Abnormal
4.6,1.5,Abnormal
5.0,1.4,Abnormal
5.4,1.7,Abnormal
4.6,1.4,Abnormal
5.0,1.5,Abnormal
4.4,1.4,Abnormal
4.9,1.5,Abnormal
5.4,1.5,Abnormal
4.8,1.6,Abnormal
4.8,1.4,Abnormal
4.3,1.1,Abnormal
5.8,1.2,Abnormal
5.7,1.5,Abnormal
5.4,1.3,Abnormal
5.1,1.4,Abnormal
5.7,1.7,Abnormal
5.1,1.5,Abnormal
5.4,1.7,Abnormal
5.1,1.5,Abnormal
4.6,1.0,Abnormal
5.1,1.7,Abnormal
4.8,1.9,Abnormal
5.0,1.6,Abnormal
5.0,1.6,Abnormal
5.2,1.5,Abnormal
5.2,1.4,Abnormal
4.7,1.6,Abnormal
4.8,1.6,Abnormal
5.4,1.5,Abnormal
5.2,1.5,Abnormal
5.5,1.4,Abnormal
4.9,1.5,Abnormal
5.0,1.2,Abnormal
5.5,1.3,Abnormal
4.9,1.5,Abnormal
4.4,1.3,Abnormal
5.1,1.5,Abnormal
5.0,1.3,Abnormal
4.5,1.3,Abnormal
4.4,1.3,Abnormal
5.0,1.6,Abnormal
5.1,1.9,Abnormal
4.8,1.4,Abnormal
5.1,1.6,Abnormal
4.6,1.4,Abnormal
5.3,1.5,Abnormal
5.0,1.4,Abnormal
7.0,4.7,Normal
6.4,4.5,Normal
6.9,4.9,Normal
5.5,4.0,Normal
6.5,4.6,Normal
5.7,4.5,Normal
6.3,4.7,Normal
4.9,3.3,Normal
6.6,4.6,Normal
5.2,3.9,Normal
5.0,3.5,Normal
5.9,4.2,Normal
6.0,4.0,Normal
6.1,4.7,Normal
5.6,3.6,Normal
6.7,4.4,Normal
5.6,4.5,Normal
5.8,4.1,Normal
6.2,4.5,Normal
5.6,3.9,Normal
5.9,4.8,Normal
6.1,4.0,Normal
6.3,4.9,Normal
6.1,4.7,Normal
6.4,4.3,Normal
6.6,4.4,Normal
6.8,4.8,Normal
6.7,5.0,Normal
6.0,4.5,Normal
5.7,3.5,Normal
5.5,3.8,Normal
5.5,3.7,Normal
5.8,3.9,Normal
6.0,5.1,Normal
5.4,4.5,Normal
6.0,4.5,Normal
6.7,4.7,Normal
6.3,4.4,Normal
5.6,4.1,Normal
5.5,4.0,Normal
5.5,4.4,Normal
6.1,4.6,Normal
5.8,4.0,Normal
5.0,3.3,Normal
5.6,4.2,Normal
5.7,4.2,Normal
5.7,4.2,Normal
6.2,4.3,Normal
5.1,3.0,Normal
5.7,4.1,Normal
